"ID","Plink_F_value","GenABEL_F_value","Plink_with_X_F_value","Freq_F_value","Freq_rsIDs_F_value"
"20170517_MOR001_016",-0.1448,-0.0985061910854185,-0.09874,-0.09883,-0.1058
"20170710_HSI001_505",-0.1448,-0.146994463556584,-0.1472,-0.1473,-0.1536
"20141007_ALR001_056",-0.1444,-0.134510534214884,-0.1347,-0.1348,-0.142
"20170517_MOR001_014",-0.143,-0.0933366302077209,-0.09356,-0.09364,-0.09449
"20181025_KMN001_026",-0.143,-0.0919454778888349,-0.09217,-0.09226,-0.09157
"20201217_SBL001_045",-0.1429,-0.091851757004845,-0.09208,-0.09214,-0.09814
"20141007_ALR001_023",-0.1427,-0.0916454098518164,-0.09187,-0.09191,-0.1011
"20201105_SBL001_032",-0.1425,-0.0911625890467894,-0.09139,-0.09145,-0.08974
"20160706_MAY001_158",-0.1423,-0.101690482933982,-0.1019,-0.1019,-0.0996
"20190117_BWH001_002",-0.1408,-0.0895311232907065,-0.08976,-0.08983,-0.09741
"20160216_S18",-0.1404,-0.0926355896297988,-0.09286,-0.09295,-0.1007
"20161101_HSI001_496",-0.1401,-0.135888220400786,-0.1361,-0.1362,-0.1394
"20190124_BWH001_014",-0.1401,-0.0888808966399703,-0.08911,-0.08914,-0.09449
"20141007_ALR001_017",-0.1397,-0.0885090461618449,-0.08874,-0.0888,-0.08901
"20160706_MAY001_133",-0.1394,-0.096511948459061,-0.09674,-0.09676,-0.0996
"20220413_RKN001_006",-0.1393,-0.133385283535207,-0.1336,-0.1337,-0.1449
"20161101_HSI001_472",-0.139,-0.141078804343539,-0.1413,-0.1414,-0.146
"20170710_HSI001_510",-0.139,-0.134888797107276,-0.1351,-0.1352,-0.1383
"20190117_BWH001_008",-0.139,-0.0877852564926228,-0.08801,-0.0881,-0.08938
"20201105_SBL001_043",-0.1385,-0.0873523707080757,-0.08758,-0.08764,-0.09011
"20201001_SBL001_008",-0.1378,-0.0866638172032127,-0.08689,-0.08695,-0.08865
"20220630_EWH001_002",-0.1378,-0.0870273677138614,-0.08725,-0.0873,-0.09413
"20161101_HSI001_469",-0.1375,-0.135199044595897,-0.1354,-0.1355,-0.1412
"20170517_MOR001_022",-0.1372,-0.0877866405134404,-0.08801,-0.0881,-0.09121
"20180529_EQR001_354",-0.1372,-0.128627544339651,-0.1289,-0.1289,-0.1171
"20201217_SBL001_044",-0.1367,-0.0856246717284361,-0.08585,-0.08591,-0.08536
"20171011_EQR001_248",-0.1365,-0.134221914641586,-0.1345,-0.1345,-0.1299
"20170710_HSI001_523",-0.1354,-0.130375762333385,-0.1306,-0.1307,-0.1288
"20141007_ALR001_016",-0.1351,-0.0840384447086242,-0.08426,-0.0843,-0.08427
"20161101_HSI001_480",-0.135,-0.134152038557428,-0.1344,-0.1345,-0.1412
"20201001_SBL001_014",-0.1349,-0.0838965244279335,-0.08412,-0.08418,-0.08573
"20220413_RKN001_001",-0.1349,-0.0842551564331804,-0.08448,-0.08453,-0.08828
"20220413_SBL001_050",-0.1349,-0.0838967114196591,-0.08412,-0.08418,-0.09559
"20170517_MOR001_001",-0.1343,-0.0863996786000142,-0.08663,-0.08672,-0.08427
"20210426_SBL001_008",-0.1342,-0.0835503147838027,-0.08378,-0.08383,-0.08901
"20170710_HSI001_503",-0.1336,-0.0898973854822927,-0.09012,-0.09018,-0.09413
"20161101_HSI001_493",-0.1325,-0.121702707916025,-0.1219,-0.122,-0.123
"20170710_HSI001_504",-0.1322,-0.138015752447756,-0.1383,-0.1383,-0.1423
"20220413_RKN001_009",-0.132,-0.0811332141531345,-0.08136,-0.08141,-0.08427
"20220413_RKN001_010",-0.132,-0.0811351294258869,-0.08136,-0.08141,-0.08536
"20141007_ALR001_010",-0.1318,-0.0812356509166545,-0.08146,-0.08153,-0.08281
"20170517_MOR001_005",-0.1317,-0.082606398630257,-0.08283,-0.08291,-0.07806
"20201008_SBL001_021",-0.1317,-0.0807902401601999,-0.08102,-0.08107,-0.08208
"20160216_H06",-0.1314,-0.109938973715121,-0.1102,-0.1103,-0.1179
"20161101_HSI001_477",-0.1314,-0.132088983816749,-0.1323,-0.1324,-0.1376
"20170710_HSI001_520",-0.1314,-0.114804688138102,-0.115,-0.1151,-0.1211
"20141007_ALR001_043",-0.131,-0.0801955012593727,-0.08042,-0.08049,-0.08208
"20210426_SBL001_014",-0.1309,-0.0800906926968156,-0.08032,-0.08037,-0.08792
"20161101_HSI001_491",-0.1307,-0.133126634408641,-0.1334,-0.1334,-0.1376
"20171120_HSI001_528",-0.1303,-0.129001434718715,-0.1292,-0.1293,-0.1325
"20141007_ALR001_011",-0.1296,-0.119976324708706,-0.1202,-0.1203,-0.1252
"20201105_SBL001_031",-0.1291,-0.0783516288046509,-0.07858,-0.07864,-0.07916
"20141007_ALR001_040",-0.1285,-0.0781187904021905,-0.07834,-0.07841,-0.08135
"20220413_SBL001_052",-0.128,-0.128532409672318,-0.1288,-0.1288,-0.1379
"20220413_SBL001_058",-0.128,-0.0773246509756824,-0.07755,-0.0776,-0.08609
"20190117_BWH001_012",-0.1278,-0.0774210671911467,-0.07765,-0.07772,-0.08062
"20170517_MOR001_015",-0.1274,-0.079141851482354,-0.07937,-0.07945,-0.07441
"20201008_SBL001_023",-0.127,-0.129233931264576,-0.1295,-0.1295,-0.1416
"20171011_GDN001_972",-0.1264,-0.0854365395623548,-0.08566,-0.08568,-0.09267
"20170517_MOR001_017",-0.1263,-0.0777627924973956,-0.07799,-0.07807,-0.08171
"20201001_SBL001_011",-0.1259,-0.0752401494244454,-0.07546,-0.07553,-0.08281
"20170517_MOR001_020",-0.1256,-0.0777499169755947,-0.07797,-0.07807,-0.08354
"20220413_SBL001_062",-0.1251,-0.0745515804186648,-0.07478,-0.07483,-0.08281
"20220526_GBK001_002",-0.1244,-0.0738696174710481,-0.07409,-0.07414,-0.08062
"20141007_ALR001_018",-0.1242,-0.0736259417113537,-0.07385,-0.07391,-0.07186
"20171120_HSI001_530",-0.1242,-0.118975877626468,-0.1192,-0.1193,-0.1153
"20161101_HSI001_168",-0.1241,-0.128623102947023,-0.1289,-0.1289,-0.1372
"20161101_HSI001_500",-0.1234,-0.120313590615188,-0.1205,-0.1206,-0.12
"20210426_SBL001_011",-0.1222,-0.072126664118608,-0.07235,-0.07241,-0.08317
"20170118_TZI001_185",-0.1213,-0.0767828919423361,-0.07701,-0.07703,-0.08135
"20161101_HSI001_487",-0.1212,-0.118944772860181,-0.1192,-0.1193,-0.1171
"20170710_HSI001_512",-0.1206,-0.121764930181252,-0.122,-0.122,-0.1211
"20141007_ALR001_038",-0.1205,-0.0701380312390158,-0.07036,-0.07045,-0.07806
"20161101_HSI001_475",-0.1202,-0.117552302069335,-0.1178,-0.1179,-0.1197
"20141007_ALR001_030",-0.1201,-0.0697976705503775,-0.07002,-0.07011,-0.07514
"20161101_HSI001_471",-0.1201,-0.116163365743402,-0.1164,-0.1165,-0.123
"20220526_GBK001_004",-0.1201,-0.0697244947898873,-0.06995,-0.06999,-0.07003
"20161130_EPH001_001",-0.1198,-0.116207214534535,-0.1164,-0.1165,-0.1146
"20161101_HSI001_498",-0.1183,-0.110288036944195,-0.1105,-0.1106,-0.1109
"20141007_ALR001_029",-0.118,-0.0677329961251777,-0.06796,-0.06803,-0.0693
"20161101_HSI001_483",-0.118,-0.114100736430767,-0.1143,-0.1144,-0.1233
"20220413_SBL001_055",-0.1179,-0.0676298764579655,-0.06785,-0.06791,-0.0766
"20160216_S05",-0.1176,-0.113051564982412,-0.1133,-0.1134,-0.1175
"20170517_MOR001_021",-0.1176,-0.0687596182427195,-0.06898,-0.06907,-0.07076
"20181025_KMN001_073",-0.1176,-0.0673735022088348,-0.0676,-0.06768,-0.06309
"20161101_HSI001_492",-0.1173,-0.113742780493554,-0.114,-0.1141,-0.1168
"20220526_GBK001_007",-0.1172,-0.0669535406656194,-0.06718,-0.06722,-0.07843
"20170517_SWA001_023",-0.1169,-0.0691416070207008,-0.06936,-0.06941,-0.07514
"20171120_HSI001_535",-0.1169,-0.125207613606484,-0.1254,-0.1255,-0.127
"20170517_MOR001_023",-0.1165,-0.0680635707156911,-0.06829,-0.06838,-0.07368
"20181018_KMN001_012",-0.1165,-0.0663386981701431,-0.06656,-0.06665,-0.06857
"20201008_SBL001_022",-0.1161,-0.0662559509977821,-0.06648,-0.06653,-0.06711
"20181018_KMN001_008",-0.1158,-0.0656510516387332,-0.06587,-0.06595,-0.0693
"20220413_SBL001_056",-0.1157,-0.0665965888452722,-0.06682,-0.06687,-0.08062
"20141007_ALR001_037",-0.1155,-0.06532731103142,-0.06555,-0.06561,-0.07186
"20160209_R081_G",-0.1155,-0.0722919871520674,-0.07252,-0.07253,-0.07733
"20160216_B20",-0.1154,-0.0687647179663837,-0.06899,-0.06907,-0.07295
"20170517_MOR001_003",-0.1147,-0.066686525652165,-0.06691,-0.06699,-0.06894
"20170517_MOR001_018",-0.1143,-0.0673734426953665,-0.0676,-0.06768,-0.06492
"20171120_HSI001_527",-0.1137,-0.103400017899774,-0.1036,-0.1037,-0.1036
"20170118_TZI001_018",-0.1126,-0.0691688650711878,-0.06939,-0.06941,-0.06236
"20171101_EQR001_256",-0.1126,-0.0702113944224964,-0.07043,-0.07045,-0.07149
"20160503_CRF001_020",-0.1122,-0.114844839905877,-0.1151,-0.1151,-0.116
"20210624_ABD001_002",-0.1117,-0.111932055607246,-0.1122,-0.1122,-0.1153
"20141007_ALR001_055",-0.1115,-0.061496358845478,-0.06172,-0.0618,-0.06419
"20160426_VS_2_024",-0.1115,-0.108616778625545,-0.1088,-0.1089,-0.1168
"20170710_HSI001_509",-0.1112,-0.104803174069739,-0.105,-0.1051,-0.1036
"20170710_HSI001_514",-0.1108,-0.111344695298131,-0.1116,-0.1116,-0.1164
"20170517_MOR001_024",-0.1107,-0.0639136995088152,-0.06414,-0.06422,-0.07295
"20160216_H11",-0.1104,-0.0632319921667021,-0.06345,-0.06353,-0.07441
"20170530_TZI001_023",-0.1104,-0.0657083598398285,-0.06593,-0.06595,-0.06857
"20201008_SBL001_019",-0.1103,-0.109511499826268,-0.1097,-0.1098,-0.1113
"20160112_JSB001_672",-0.1101,-0.106867571960723,-0.1071,-0.1071,-0.1084
"20170411_MCF001_007",-0.1101,-0.0643286117086001,-0.06455,-0.06457,-0.06382
"20210426_SBL001_003",-0.1096,-0.0596658247028629,-0.05989,-0.05995,-0.06967
"20201001_SBL001_003",-0.1095,-0.0596651236959826,-0.05989,-0.05995,-0.06711
"20161012_TAR001_071",-0.1094,-0.0622575818312813,-0.06248,-0.06249,-0.05981
"20170517_MOR001_011",-0.1093,-0.0621834231731711,-0.0624,-0.06249,-0.07405
"20210624_ABD001_001",-0.1092,-0.0596744430331561,-0.0599,-0.05995,-0.06309
"20170530_TZI001_028",-0.1086,-0.0657056912875112,-0.06593,-0.06595,-0.06054
"20190117_BWH001_007",-0.1086,-0.0587236680558348,-0.05894,-0.05903,-0.06565
"20180117_LIP001_384",-0.1083,-0.110001596064751,-0.1102,-0.1103,-0.1113
"20161012_HSI001_198",-0.1082,-0.063266726002323,-0.06349,-0.06353,-0.05689
"20170517_MOR001_019",-0.1082,-0.061845282103816,-0.06207,-0.06215,-0.06638
"20160706_MAY001_080",-0.1079,-0.0702156438868999,-0.07044,-0.07045,-0.07076
"20160301_WNF001_074",-0.1072,-0.0709104193155894,-0.07113,-0.07114,-0.08025
"20160706_MAY001_088",-0.1068,-0.0674453001992851,-0.06767,-0.06768,-0.06528
"20170118_HSI001_189",-0.1064,-0.0639742581964619,-0.0642,-0.06422,-0.06236
"20160412_SIF001_006",-0.1061,-0.103082314534189,-0.1033,-0.1033,-0.09814
"20160803_WKS001_119",-0.1061,-0.0989286696187233,-0.09916,-0.09918,-0.09997
